p1,p2,p3,p4,Recall1,Recall2,r1,r2,r3,r4,r5,r6,rl1,rl2,rl3,rl4,rl5,rl6,d1,d2,d3,d4,d5,d6,t1,t2,t3,t4,t5,t6,a11,a12,a13,a14,a15,a16,a17,a18,a19,a21,a22,a23,a24,a25,a26,a27,a28,a29,bp1,bp2,bp3,bp4,bp5,bp6,u1,u2,u3,u4,u5,u6,e11,e12,e13,e14,e10,e21,e22,e23,e24,e20,e31,e32,e33,e34,e30,e41,e42,e43,e44,e40,e51,e52,e53,e54,e50,e61,e62,e63,e64,e60,M1,M2,M3,M4,M5,SM0,SM1,SM2,SM3,SM4,SM5,SM6,attend,sth,Gender,zip,yob,Income,married,kids,residence,retake,Sex,single_married,homeowner,children,Social_Channels,Passion,OcshnerBE,FAC1_1,FAC2_1,FAC3_1,age,HHIncome,neighborhood_income,neighborhood_age,neighborhood_edu,neighborhood_pop
100,85,90,100,1,1,70,60,40,90,10,40,70,50,20,70,10,10,75,50,20,100,10,10,70,75,50,90,10,10,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,50,75,30,100,10,10,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,17,3,17,17,17,0,1,1,1,1,0,0,2,0,1,39301,1979,0,3,2,1,4,1,0,1,2,4,93.75,90,1.1887934384647876,-0.6124067508285091,-1.1794848427731903,44,4,40776,38.2,1414,22937
84,64,23,49,1,0,96,81,52,89,77,55,30,34,9,100,57,22,91,65,16,82,81,49,9,9,7,98,85,86,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,74,70,36,72,69,26,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,15,17,9,14,8,0,0,0,0,1,0,0,5,1,1,70056,1998,0,5,0,2,1,1,0,0,0,1,55,88.2,0.5788631990787714,-0.10968469307322484,1.14007599199085,25,4,62092,34.5,5121,42627
80,71,80,1,1,1,19,9,3,80,81,55,2,2,1,83,51,1,9,3,2,64,64,1,70,70,1,81,81,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,76,64,30,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,14,12,2,13,13,1,0,0,0,0,0,0,5,1,1,71227,1953,0,1,0,1,1,1,1,1,0,0,58,76.8,0.379956363627549,-1.4105531984894923,1.5200848928482262,70,4,57746,38.6,440,3891
100,95,98,100,1,1,51,49,54,100,20,20,51,52,47,99,42,42,53,49,49,100,29,28,48,49,52,100,50,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,100,45,47,100,53,49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,14,7,17,8,11,0,1,0,0,0,0,0,0,0,1,28081,1951,0,1,0,1,2,1,1,1,0,1,98.25,99.8,1.1770722009009458,-0.07456179103239682,-0.2879908542449667,72,4,64180,37.8,2779,27527
90,50,90,50,1,1,50,50,50,1,1,1,0,0,0,50,1,1,0,0,0,50,0,0,0,0,0,50,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,50,75,50,50,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,1,17,17,17,0,1,0,1,0,1,0,9,1,1,39560,1963,0,1,0,1,4,1,1,1,0,3,70,40.2,-0.5016633777624926,-1.009737943188461,-0.8821292021126307,60,4,67343,41.7,2252,18289
82,77,80,72,1,0,20,20,20,19,24,18,12,18,15,13,15,20,20,17,17,19,19,19,15,16,14,8,20,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,15,10,10,10,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,13,14,1,0,0,0,0,0,0,4,1,1,47639,1964,0,1,999,1,1,1,1,1,0,0,77.75,13.8,-1.544716457483618,-0.33938735665678366,-0.3251727060730766,59,4,83777,37.9,496,4591
90,97,96,76,0,0,73,76,50,90,77,73,16,14,13,97,96,11,51,53,48,79,79,78,26,30,30,90,74,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,56,33,96,76,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,16,1,1,16,16,1,0,0,0,0,0,0,4,0,2,70447,1977,0,1,2,1,1,2,1,1,2,0,89.75,90.4,0.5883917602434328,-0.1119277894231688,1.397888863073356,46,4,120305,36.9,3627,17400
100,100,96,98,1,1,70,56,2,89,2,4,50,53,7,62,6,2,75,84,6,71,3,4,25,21,18,17,11,9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,44,42,5,34,7,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9,9,17,17,13,0,0,1,0,0,0,0,7,1,1,39571,1980,0,1,2,1,4,1,1,1,2,1,98.5,54.6,-0.02311020874810898,-0.9171153234606322,-0.8677579218857802,43,4,60198,42.4,1967,14010
100,70,100,100,1,1,80,100,70,100,50,50,0,0,0,100,0,0,0,100,0,100,0,0,80,100,0,100,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,80,100,0,100,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,17,17,17,17,5,0,1,0,0,0,0,0,2,0,2,70461,1965,0,1,0,1,2,2,1,1,0,1,92.5,100,1.5564215590446595,-0.9499285678912132,-1.1167103638588722,58,4,84973,39,4246,32229
75,83,95,33,1,1,24,21,16,98,28,50,14,12,12,54,17,18,85,14,11,79,15,13,84,81,14,95,15,16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31,14,16,91,20,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,14,5,13,14,14,0,1,1,0,0,0,0,1,0,1,70448,1976,0,1,2,1,1,1,1,1,2,2,71.5,83.4,0.9161691866086452,-0.4054475565980305,-0.8929281727043924,47,4,90475,38.9,4912,26364
